model,k-shot,target,scope_id,kw_context,vl_propform,acc_mean,prec_mean,rec_mean,f1_mean,var_by_acc,var_by_f1
Mistral,6,Able_i,2,0,1,0.72,0.822,0.72,0.691,0.0036,0.007024
Mistral,6,Able_i,4,0,1,0.68,0.806,0.68,0.641,0.0016,0.003435
Mistral,6,Able_i,3,0,1,0.6,0.778,0.6,0.522,0.001,0.002743
Mistral,6,Adv0,2,0,1,0.78,0.852,0.78,0.76,0.0086,0.014554
Mistral,6,Adv0,1,0,1,0.63,0.689,0.63,0.56,0.0056,0.015745
Mistral,6,Adv1,2,0,1,0.63,0.635,0.63,0.574,0.0056,0.016921
Mistral,6,Adv1,1,0,1,0.51,0.47,0.51,0.407,0.0004,0.002374
Mistral,6,Anti,2,0,1,0.69,0.693,0.69,0.67,0.0094,0.017996
Mistral,6,Anti,1,0,1,0.61,0.615,0.61,0.587,0.0034,0.00896
Mistral,6,Anti,3,0,1,0.57,0.536,0.57,0.532,0.0046,0.013944
Mistral,6,Bon,1,0,1,0.6,0.778,0.6,0.522,0.001,0.002743
Mistral,6,Bon,3,0,1,0.54,0.578,0.54,0.437,0.0014,0.004368
Mistral,6,Bon,2,0,1,0.5,0.25,0.5,0.333,0.0,0.0
Mistral,6,Cap,2,0,1,0.71,0.821,0.71,0.671,0.0094,0.01801
Mistral,6,Cap,1,0,1,0.64,0.738,0.64,0.594,0.0034,0.008742
Mistral,6,Cap,3,0,1,0.52,0.398,0.52,0.405,0.0026,0.010029
Mistral,6,Caus,2,0,1,0.66,0.64,0.66,0.615,0.0084,0.022603
Mistral,6,Caus,4,0,1,0.57,0.624,0.57,0.533,0.0006,0.000244
Mistral,6,Caus,1,0,1,0.56,0.623,0.56,0.509,0.0004,0.002322
Mistral,6,Caus,3,0,1,0.55,0.562,0.55,0.458,0.003,0.009634
Mistral,6,Colloc_préposition,1,0,1,0.68,0.713,0.68,0.621,0.0166,0.032651
Mistral,6,Collocation_verbale,1,0,1,0.5,0.45,0.5,0.4,0.0,0.001413
Mistral,6,Contr,2,0,1,0.58,0.616,0.58,0.505,0.0016,0.007877
Mistral,6,Contr,3,0,1,0.57,0.557,0.57,0.507,0.0016,0.007779
